Underlagt-ID,Underlagt,Underlagt2,Enhet,Enhetskode,Fradato,Tildato
,Jønsrud skole,JOS,Jønsrud skole,JOS,11.11.1996 00:00:00,
JOS,Jønsrud skole,ADM,Administrasjon,JOS.ADM,10.01.2008 00:00:00,
JOS,Jønsrud skole,ANS,Ansettelsesråd,JOS.ANS,11.05.2001 00:00:00,
JOS,Jønsrud skole,BHG,Jønsrud barnehage,JOS.BHG,11.11.1996 00:00:00,
JOS,Jønsrud skole,JOSADM,Jønsrud oppvekstsenter,JOS.JOSADM,15.01.1997 00:00:00,
JOS,Jønsrud skole,JSK,Jønsrud skole,JOS.JSK,11.11.1996 00:00:00,
JOS,Jønsrud skole,SAK,Saksbehandler,JOS.SAK,10.01.2008 00:00:00,
JOS,Jønsrud skole,SFOJ,Jønsrudklubben,JOS.SFOJ,15.01.1997 00:00:00,
,,KIS,"Kultur, informasjon og service",KIS,08.10.2002 00:00:00,31.12.2017 00:00:00
KIS,"Kultur, informasjon og service",ADM,Administrasjon,KIS.ADM,10.01.2008 00:00:00,06.03.2018 00:00:00
KIS,"Kultur, informasjon og service",ANS,Ansettelsesråd for KIS,KIS.ANS,08.10.2002 00:00:00,06.03.2018 00:00:00
KIS,"Kultur, informasjon og service",BOL,Bolig,KIS.BOL,10.01.2008 00:00:00,31.12.2008 00:00:00
KIS,"Kultur, informasjon og service",BUK,Barne og unges kommunestyre,KIS.BUK,08.10.2002 00:00:00,06.03.2018 00:00:00
KIS,"Kultur, informasjon og service",KISADM,"Kultur, informasjon og service",KIS.KISADM,08.10.2002 00:00:00,31.12.2008 00:00:00
KIS,"Kultur, informasjon og service",KU,Kultur,KIS.KU,08.10.2002 00:00:00,31.12.2008 00:00:00
KIS,"Kultur, informasjon og service",LFB,Løten folkebibliotek,KIS.LFB,08.10.2002 00:00:00,31.12.2008 00:00:00
KIS,"Kultur, informasjon og service",LOSK,Løten offentlige servicekontor,KIS.LOSK,10.05.2004 00:00:00,31.12.2008 00:00:00
KIS,"Kultur, informasjon og service",SAK,Saksbehandler,KIS.SAK,10.01.2008 00:00:00,06.03.2018 00:00:00
KK,Kultur og kommunikasjon,KK,Kultur og kommunikasjon,KK,04.01.2018 00:00:00,
KK,Kultur og kommunikasjon,ADM,Administrasjon,KK.ADM,04.01.2018 00:00:00,
KK,Kultur og kommunikasjon,KIS,"Kultur, informasjon og service",KK.KIS,06.03.2018 00:00:00,
KK,Kultur og kommunikasjon,ADM,Administrasjon,KK.KIS.ADM,06.03.2018 00:00:00,
KK,Kultur og kommunikasjon,ANS,Ansettelsesråd for KIS,KK.KIS.ANS,06.03.2018 00:00:00,
KK,Kultur og kommunikasjon,BUK,Barne og unges kommunestyre,KK.KIS.BUK,06.03.2018 00:00:00,
KK,Kultur og kommunikasjon,SAK,Saksbehandler,KK.KIS.SAK,06.03.2018 00:00:00,
KK,Kultur og kommunikasjon,SAK,Saksbehandler,KK.SAK,04.01.2018 00:00:00,
KSV,Kommunalsjef velferd,KSV,Kommunalsjef velferd,KSV,02.01.2019 00:00:00,
KSV,Kommunalsjef velferd,ADM,Administrasjon,KSV.ADM,02.01.2019 00:00:00,
KSV,Kommunalsjef velferd,SAK,Saksbehandler,KSV.SAK,02.01.2019 00:00:00,
KVA,Kvalifisering,KVA,Kvalifisering,KVA,31.01.2011 00:00:00,
